                                    fitness                                           size                     
                ----------------------------------------------- -----------------------------------------------
gen     nevals  avg     gen     max     min     nevals  std     avg     gen     max     min     nevals  std    
0       100     158.877 0       234.262 92.0454 100     20.2769 3.77    0       7       2       100     1.56751
1       49      148.918 1       233.183 92.0454 49      24.3905 4.33    1       9       1       49      1.69148
2       65      138.805 2       326.248 92.0454 65      33.0913 4.34    2       9       1       65      1.74482
3       57      114.562 3       178.723 72.5537 57      20.4288 4.25    3       9       3       57      1.69926
4       50      109.055 4       206.206 72.5537 50      25.7382 4.46    4       8       3       50      1.44513
5       55      107.848 5       265.24  72.5537 55      31.4768 4.94    5       8       1       55      1.5609 
6       61      98.2475 6       265.24  56.7337 61      36.206  5.67    6       10      3       61      1.47685
7       53      93.862  7       366.804 56.7337 53      41.735  5.8     7       11      3       53      1.67332
8       49      97.4995 8       1929.3  56.7337 49      186.416 6.12    8       12      1       49      1.83456
9       52      75.0937 9       263.255 53.7371 52      34.5628 6.89    9       14      3       52      2.13492
10      56      67.763  10      164.828 56.7337 56      21.4719 7.22    10      13      3       56      1.75829
11      48      78.5556 11      771.217 56.7337 48      100.989 6.93    11      13      1       48      1.71029
12      59      72.4255 12      361.683 56.7337 59      40.6778 6.98    12      13      1       59      2.02475
13      59      114.052 13      3925.99 54.7094 59      385.83  7.1     13      15      1       59      2.23383
14      57      75.5044 14      361.683 54.7094 57      50.4998 7.08    14      13      1       57      2.1386 
15      51      65.4551 15      164.828 54.7094 51      21.6137 7.55    15      13      1       51      2.25555
16      59      70.9677 16      361.683 54.7094 59      37.7472 8.58    16      23      1       59      3.57542
17      53      73.8776 17      510.903 54.1973 53      54.8971 9.85    17      21      2       53      3.83243
18      50      68.3992 18      207.682 50.4959 50      28.8585 10.98   18      21      3       50      4.04717
19      58      67.2213 19      182.397 45.5256 58      27.2356 12.37   19      23      1       58      4.53576
20      70      71.4228 20      620.236 53.6644 70      63.4797 13.23   20      29      3       70      4.12033
21      68      65.6551 21      164.828 53.0208 68      23.8666 14.53   21      32      1       68      5.65766
22      55      63.8024 22      182.397 53.0208 55      22.4683 16.65   22      32      5       55      5.75739
23      56      63.2904 23      200.809 50.8494 56      27.6839 17.82   23      32      3       56      6.10144
24      52      60.6656 24      149.626 47.0806 52      18.3602 18.55   24      40      3       52      7.6097 
25      54      61.5703 25      170.555 47.0806 54      20.661  20.27   25      44      3       54      7.0652 
26      59      60.067  26      213.901 43.0651 59      23.1708 22.88   26      47      3       59      9.24368
27      49      58.6434 27      139.669 41.8315 49      19.7277 26.36   27      74      3       49      12.7472
28      67      55.5042 28      144.215 42.859  67      17.5283 30.8    28      74      3       67      12.8203
29      52      56.2907 29      312.263 40.2431 52      33.0434 35.07   29      97      3       52      15.4708
30      61      55.7182 30      226.276 40.2431 61      27.1616 43.39   30      98      4       61      20.7788
31      56      49.3155 31      107.415 40.2431 56      11.2129 48.86   31      98      6       56      25.4566
32      51      51.9637 32      312.263 40.2431 51      30.3742 57.09   32      106     3       51      28.4317
33      51      52.9872 33      359.311 34.8335 51      42.5601 56.08   33      124     3       51      29.4128
34      55      45.964  34      92.1732 31.6059 55      9.23622 63.93   34      136     5       55      30.1271
35      48      44.6853 35      123.393 31.6059 48      13.0616 75.76   35      136     7       48      33.2316
36      63      43.6228 36      105.087 26.281  63      13.484  92.98   36      167     13      63      31.8951
37      51      44.1676 37      163.901 26.281  51      22.4106 97.76   37      167     3       51      35.7687
38      56      49.4504 38      591.716 26.281  56      70.4512 108.16  38      190     3       56      31.0376
39      60      40.1263 39      340.338 26.281  60      33.9189 113.48  39      167     5       60      28.403 
40      65      34.7925 40      102.321 24.1672 65      10.4497 122.51  40      196     42      65      21.7147
41      44      35.9065 41      156.821 25.8537 44      22.018  121.97  41      201     3       44      30.9847
42      51      30.5205 42      159.674 23.573  51      16.5886 128.43  42      162     7       51      16.4282
43      64      33.0539 43      129.35  20.7006 64      18.098  121.98  43      170     3       64      29.1386
44      49      30.7824 44      172.776 20.7006 49      17.714  128.96  44      170     3       49      19.76  
45      59      28.247  45      78.1933 20.7006 59      7.13356 130.21  45      223     76      59      19.3522
46      50      28.7002 46      115.707 20.6986 50      12.3275 127.87  46      201     7       50      25.8219
47      55      26.3103 47      155.438 17.8363 55      13.6234 131.04  47      175     39      55      20.9389
48      61      27.8373 48      177.501 17.1815 61      19.2726 134.9   48      185     3       61      26.2482
49      49      34.3066 49      1161.81 17.1815 49      113.403 142.4   49      187     36      49      23.8964
50      49      22.4324 50      64.9462 17.1815 49      6.44389 149.38  50      187     121     49      14.1469
51      65      23.8953 51      104.293 16.7467 65      12.3706 147.93  51      208     77      65      18.0423
52      68      21.7804 52      72.5537 15.7721 68      9.17526 143.02  52      176     5       68      27.1238
53      69      23.2017 53      161.318 16.2265 69      18.2064 143.88  53      181     5       69      30.0361
54      59      23.6825 54      180.98  14.7684 59      20.0865 143.96  54      178     10      59      28.0717
55      50      22.3342 55      107.415 14.7684 50      15.65   147.04  55      184     3       50      26.0215
56      56      19.6263 56      82.8785 14.5941 56      8.369   148.55  56      184     48      56      21.4427
57      66      21.2043 57      122.867 14.5535 66      15.2869 145.22  57      194     3       66      28.421 
58      46      20.1209 58      118.904 14.5535 46      13.3576 145.68  58      204     18      46      25.8294
59      54      18.3382 59      108.518 14.5535 54      10.2163 152.71  59      204     106     54      18.2879
60      58      18.5336 60      99.1002 11.5391 58      10.1318 156.7   60      288     40      58      25.0166
61      61      18.2661 61      86.9485 11.5391 61      8.56082 161.81  61      189     112     61      12.5281
62      52      17.7144 62      107.415 12.1609 52      11.4709 162.49  62      203     3       52      19.2304
63      60      19.1698 63      113.135 12.1609 60      12.582  163.15  63      186     20      60      16.8306
64      59      17.125  64      98.0542 11.4647 59      9.22703 165.82  64      190     116     59      10.5909
65      49      15.6838 65      85.8196 8.18151 49      7.93313 163.98  65      200     30      49      18.3897
66      59      15.4015 66      69.9659 7.5937  59      6.61015 166.48  66      212     129     59      12.8066
67      51      15.2217 67      99.0235 7.5937  51      11.0201 165.7   67      225     99      51      15.8899
